Colonne1,name,nickname
1,Aaron,Erin
2,Aaron,Ron
3,Aaron,Ronnie
4,Abel,Ab
5,Abel,Abe
6,Abel,Eb
7,Abel,Ebbie
8,Abiel,Ab
9,Abigail,Abby
10,Abigail,Gail
11,Abigail,Nabby
12,Abner,Ab
13,Abraham,Ab
14,Abraham,Abe
15,Abram,Ab
16,Adaline,Ada
17,Adaline,Addy
18,Adaline,Delia
19,Adaline,Dell
20,Adaline,Lena
21,Adelaide,Addy
22,Adelaide,Adele
23,Adelaide,Dell
24,Adelaide,Della
25,Adelaide,Heidi
26,Adeline,Ada
27,Adeline,Addy
28,Adeline,Delia
29,Adeline,Dell
30,Adeline,Lena
31,Adelphia,Addy
32,Adelphia,Adele
33,Adelphia,Dell
34,Adelphia,Delphia
35,Adelphia,Philly
36,Agatha,Aggy
37,Agnes,Aggy
38,Agnes,Inez
39,Agnes,Nessa
40,Aileen,Allie
41,Aileen,Lena
42,Alan,Al
43,Albert,Al
44,Albert,Bert
45,Alberta,Allie
46,Alberta,Bert
47,Alberta,Bertie
48,Aldo,Al
49,Aldrich,Rich
50,Aldrich,Riche
51,Alexander,Al
52,Alexander,Alex
53,Alexander,Sandy
54,Alexandra,Alex
55,Alexandra,Alla
56,Alexandra,Sandra
57,Alexandra,Sandy
58,Alfonse,Al
59,Alfred,Al
60,Alfred,Fred
61,Alfred,Freddy
62,Alfreda,Alfy
63,Alfreda,Freda
64,Alfreda,Freddy
65,Alfreda,Frieda
66,Alice,Allie
67,Alice,Elsie
68,Alice,Lisa
69,Alicia,Allie
70,Alicia,Elsie
71,Alicia,Lisa
72,Allan,Al
73,Allen,Al
74,Allisandra,Allie
75,Almena,Allie
76,Almena,Mena
77,Alonzo,Al
78,Alonzo,Lon
79,Alonzo,Lonzo
80,Amanda,Manda
81,Amanda,Mandy
82,Amelia,Amy
83,Amelia,Emily
84,Amelia,Mel
85,Amelia,Millie
86,Anderson,Andy
87,Andrew,Andy
88,Andrew,Drew
89,Ann,Annie
90,Ann,Nan
91,Ann,Nana
92,Ann,Nancy
93,Ann,Nanny
94,Anne,Annie
95,Anne,Nan
96,Anne,Nana
97,Anne,Nancy
98,Anne,Nanny
99,Anthony,Tony
100,Antoinette,Ann
101,Antoinette,Netta
102,Antoinette,Tony
103,Antonia,Ann
104,Antonia,Netta
105,Antonia,Tony
106,Arabella,Ara
107,Arabella,Arry
108,Arabella,Bella
109,Arabella,Belle
110,Arabelle,Ara
111,Arabelle,Arry
112,Arabelle,Bella
113,Arabelle,Belle
114,Archibald,Archie
115,Arlene,Arly
116,Arlene,Lena
117,Armena,Arry
118,Armena,Mena
119,Arthur,Art
120,Asahel,Asa
121,Asaph,Asa
122,Asenath,Assene
123,Asenath,Natty
124,Asenath,Sene
125,August,Gus
126,Augusta,Aggy
127,Augusta,Gatsy
128,Augusta,Gussie
129,Augusta,Tina
130,Augustina,Aggy
131,Augustina,Gatsy
132,Augustina,Gussie
133,Augustina,Tina
134,Augustine,August
135,Augustine,Austin
136,Augustine,Gus
137,Augustine,Gus
138,Augustus,August
139,Augustus,Austin
140,Augustus,Gus
141,Azariah,Aze
142,Azariah,Riah
143,Barbara,Bab
144,Barbara,Babs
145,Barbara,Barby
146,Barbara,Bobbie
147,Barnabas,Barney
148,Bartholomew,Bart
149,Bartholomew,Bartel
150,Bartholomew,Bat
151,Bartholomew,Mees
152,Bartholomew,Meus
153,Beatrice,Bea
154,Beatrice,Trisha
155,Beatrice,Trix
156,Beatrice,Trixie
157,Belinda,Belle
158,Belinda,Linda
159,Benedict,Ben
160,Benedict,Bennie
161,Benjamin,Ben
162,Benjamin,Benjy
163,Benjamin,Bennie
164,Benjamin,Jamie
165,Bernard,Barney
166,Bernard,Berney
167,Bernard,Bernie
168,Bertha,Bert
169,Bertha,Bertie
170,Bertha,Birdie
171,Bill,Fred
172,Billy,Fred
173,Bradford,Brad
174,Bradford,Ford
175,Bridget,Biddie
176,Bridget,Biddy
177,Bridget,Bridgie
178,Bridget,Bridie
179,Broderick,Brady
180,Broderick,Brody
181,Broderick,Rick
182,Broderick,Ricky
183,Calvin,Cal
184,Calvin,Vin
185,Calvin,Vinny
186,Cameron,Cam
187,Cameron,Ron
188,Cameron,Ronny
189,Camille,Cammie
190,Camille,Millie
191,Carol,Carrie
192,Carol,Cassie
193,Carol,Lynn
194,CarolAnn,Carol
195,CarolAnn,Carole
196,Caroline,Carol
197,Caroline,Carole
198,Caroline,Carrie
199,Caroline,Cassie
200,Caroline,Lynn
201,Carolyn,Carrie
202,Carolyn,Cassie
203,Carolyn,Lynn
204,Casey,K.C.
205,Cassandra,Cassie
206,Cassandra,Sandra
207,Cassandra,Sandy
208,Catherine,Cassie
209,Catherine,Cathy
210,Catherine,Kathy
211,Catherine,Katy
212,Catherine,Kay
213,Catherine,Kit
214,Catherine,Kittie
215,Catherine,Lena
216,Catherine,Trina
217,Cathleen,Cassie
218,Cathleen,Cathy
219,Cathleen,Kathy
220,Cathleen,Katy
221,Cathleen,Kay
222,Cathleen,Kit
223,Cathleen,Kittie
224,Cathleen,Lena
225,Cathleen,Trina
226,Cecilia,Celia
227,Cecilia,Cissy
228,Cedric,Ced
229,Cedric,Rick
230,Cedric,Ricky
231,Charles,Carl
232,Charles,Charlie
233,Charles,Chick
234,Charles,Chuck
235,Charles,Chuck
236,Charlotte,Char
237,Charlotte,Lotta
238,Charlotte,Lottie
239,Charlotte,Sherry
240,Chauncey,Chan
241,Chester,Chet
242,Christa,Chris
243,Christian,Chris
244,Christian,Chris
245,Christian,Kit
246,Christiana,Ann
247,Christiana,Chris
248,Christiana,Christy
249,Christiana,Crissy
250,Christiana,Kris
251,Christiana,Kristy
252,Christiana,Tina
253,Christina,Chris
254,Christina,Christy
255,Christina,Crissy
256,Christina,Kris
257,Christina,Kristy
258,Christina,Tina
259,Christina,Tina
260,Christine,Chris
261,Christine,Chrissy
262,Christine,Crissy
263,Christine,Kris
264,Christine,Kristy
265,Christine,Tina
266,Christopher,Chris
267,Christopher,Kit
268,Clarence,Clair
269,Clarence,Clare
270,Clarinda,Clara
271,Clarissa,Cissy
272,Clarissa,Clara
273,Clement,Clem
274,Clement,Clem
275,Clifford,Cliff
276,Clifford,Ford
277,Clifton,Cliff
278,Clifton,Tony
279,Columbus,Clum
280,Conrad,Con
281,Conrad,Conny
282,Constance,Connie
283,Cordelia,Cordy
284,Cordelia,Delia
285,Cornelia,Cornie
286,Cornelia,Corny
287,Cornelia,Nelia
288,Cornelia,Nelle
289,Cornelia,Nelly
290,Cornelius,Con
291,Cornelius,Conny
292,Cornelius,Corny
293,Cornelius,Niel
294,Courtney,Court
295,Courtney,Curt
296,Curtis,Curt
